team,champion,team_champion_pick_rows,wins_with_champion,op_pick_rows,patches,example_matches,win_rate_with_champion
Fukuoka SoftBank HAWKS gaming,Neeko,1,0,0,26.09,Esports World Cup 2026/Online Qualifiers/Asia-Pacific_Round 4_1_3,0.0
Fukuoka SoftBank HAWKS gaming,Nocturne,1,0,0,26.09,Esports World Cup 2026/Online Qualifiers/Asia-Pacific_Round 4_1_3,0.0
Fukuoka SoftBank HAWKS gaming,Pantheon,1,0,0,26.09,LCP/2026 Season/Split 2_Week 6_4_1,0.0
Fukuoka SoftBank HAWKS gaming,Rakan,1,0,0,26.09,LCP/2026 Season/Split 2_Week 5_3_2,0.0
Fukuoka SoftBank HAWKS gaming,Renekton,1,0,0,26.10,LCP/2026 Season/Split 2 Playoffs_Round 1_2_3,0.0
Fukuoka SoftBank HAWKS gaming,Sejuani,1,0,0,26.10,LCP/2026 Season/Split 2_Week 7_2_1,0.0
Fukuoka SoftBank HAWKS gaming,Shen,1,1,0,26.09,Esports World Cup 2026/Online Qualifiers/Asia-Pacific_Round 4_1_1,1.0
Fukuoka SoftBank HAWKS gaming,Sivir,1,0,0,26.10,LCP/2026 Season/Split 2 Playoffs_Round 1_2_2,0.0
Fukuoka SoftBank HAWKS gaming,Trundle,1,0,0,26.10,LCP/2026 Season/Split 2 Playoffs_Round 1_2_3,0.0
Fukuoka SoftBank HAWKS gaming,Twisted Fate,1,0,0,26.10,LCP/2026 Season/Split 2 Playoffs_Round 1_2_1,0.0
Fukuoka SoftBank HAWKS gaming,Wukong,1,0,0,26.10,LCP/2026 Season/Split 2 Playoffs_Round 1_2_2,0.0
Fukuoka SoftBank HAWKS gaming,Xayah,1,0,0,26.09,LCP/2026 Season/Split 2_Week 5_3_2,0.0
Fukuoka SoftBank HAWKS gaming,Yone,1,0,0,26.10,LCP/2026 Season/Split 2_Week 7_2_1,0.0
Fukuoka SoftBank HAWKS gaming,Yuumi,1,0,0,26.09,Esports World Cup 2026/Online Qualifiers/Asia-Pacific_Round 2_2_2,0.0
Fukuoka SoftBank HAWKS gaming,Zeri,1,0,0,26.09,Esports World Cup 2026/Online Qualifiers/Asia-Pacific_Round 2_2_2,0.0
G2 Esports,Aatrox,1,1,0,26.10,LEC/2026 Season/Spring Playoffs_Round 1_1_4,1.0
G2 Esports,Ashe,1,1,0,26.10,LEC/2026 Season/Spring Playoffs_Round 3_1_4,1.0
G2 Esports,Gragas,1,1,0,26.10,LEC/2026 Season/Spring Playoffs_Round 1_1_4,1.0
G2 Esports,Jinx,1,1,0,26.10,LEC/2026 Season/Spring Playoffs_Round 3_1_5,1.0
G2 Esports,Kai'Sa,1,1,0,26.09,LEC/2026 Season/Spring Season_Week 7_3_2,1.0
G2 Esports,Leona,1,0,0,26.10,LEC/2026 Season/Spring Playoffs_Round 3_1_1,0.0
G2 Esports,Miss Fortune,1,0,0,26.09,LEC/2026 Season/Spring Season_Week 7_6_3,0.0
G2 Esports,Nasus,1,1,0,26.10,LEC/2026 Season/Spring Playoffs_Finals_1_5,1.0
G2 Esports,Orianna,1,1,0,26.09,LEC/2026 Season/Spring Season_Week 6_4_2,1.0
G2 Esports,Rakan,1,1,0,26.10,LEC/2026 Season/Spring Playoffs_Round 3_1_3,1.0
G2 Esports,Rell,1,1,0,26.10,LEC/2026 Season/Spring Playoffs_Finals_1_4,1.0
G2 Esports,Rumble,1,1,0,26.09,Esports World Cup 2026/Online Qualifiers/EMEA_Round 4_1_2,1.0
G2 Esports,Sion,1,1,0,26.10,LEC/2026 Season/Spring Playoffs_Finals_1_4,1.0
G2 Esports,Soraka,1,1,0,26.10,LEC/2026 Season/Spring Playoffs_Round 3_1_5,1.0
G2 Esports,Sylas,1,1,0,26.10,LEC/2026 Season/Spring Playoffs_Round 3_1_5,1.0
G2 Esports,Varus,1,1,0,26.10,LEC/2026 Season/Spring Playoffs_Round 1_1_4,1.0
G2 Esports,Vi,1,1,0,26.09,Esports World Cup 2026/Online Qualifiers/EMEA_Round 6_1_2,1.0
G2 Esports,Viktor,1,1,0,26.10,LEC/2026 Season/Spring Playoffs_Round 3_1_3,1.0
G2 Esports,Wukong,1,1,0,26.09,LEC/2026 Season/Spring Season_Week 7_3_2,1.0
G2 Esports,Yasuo,1,0,0,26.10,LEC/2026 Season/Spring Playoffs_Round 3_1_2,0.0
G2 Esports,Yone,1,0,0,26.10,LEC/2026 Season/Spring Playoffs_Round 3_1_1,0.0
G2 NORD,Ahri,1,0,0,26.10,Prime League 1st Division/2026 Season/Spring Playoffs_Finals_1_4,0.0
G2 NORD,Alistar,1,0,0,26.11,EMEA Masters/2026 Season/Spring Main Event_Groups Day 2_2_3,0.0
G2 NORD,Aurora,1,1,0,26.09,Prime League 1st Division/2026 Season/Spring Split_Week 7_1_1,1.0
G2 NORD,Blitzcrank,1,1,0,26.11,EMEA Masters/2026 Season/Spring Main Event_Quarterfinals_2_3,1.0
G2 NORD,Braum,1,1,0,26.10,Prime League 1st Division/2026 Season/Spring Playoffs_Finals_1_5,1.0
G2 NORD,Cassiopeia,1,1,0,26.11,EMEA Masters/2026 Season/Spring Main Event_Groups Day 1_3_2,1.0
G2 NORD,Gnar,1,0,0,26.10,Prime League 1st Division/2026 Season/Spring Playoffs_Finals_1_4,0.0
G2 NORD,Gwen,1,1,0,26.09,Prime League 1st Division/2026 Season/Spring Split_Week 7_1_1,1.0
G2 NORD,Jhin,1,1,0,26.10,Prime League 1st Division/2026 Season/Spring Playoffs_Quarterfinals_2_1,1.0
G2 NORD,Jinx,1,1,0,26.10,Prime League 1st Division/2026 Season/Spring Playoffs_Finals_1_5,1.0
G2 NORD,Lulu,1,1,0,26.11,EMEA Masters/2026 Season/Spring Main Event_Groups Day 3_2_3,1.0
G2 NORD,Mel,1,0,0,26.11,EMEA Masters/2026 Season/Spring Main Event_Groups Day 3_2_2,0.0
G2 NORD,Nami,1,1,0,26.10,Prime League 1st Division/2026 Season/Spring Playoffs_Quarterfinals_2_2,1.0
G2 NORD,Orianna,1,0,0,26.10,Prime League 1st Division/2026 Season/Spring Playoffs_Finals_1_1,0.0
G2 NORD,Ornn,1,0,0,26.11,EMEA Masters/2026 Season/Spring Main Event_Quarterfinals_2_4,0.0
G2 NORD,Sivir,1,1,0,26.09,Prime League 1st Division/2026 Season/Spring Split_Week 7_1_1,1.0
G2 NORD,Soraka,1,1,0,26.10,Prime League 1st Division/2026 Season/Spring Playoffs_Semifinals_2_2,1.0
G2 NORD,Taric,1,0,0,26.11,EMEA Masters/2026 Season/Spring Main Event_Quarterfinals_2_4,0.0
G2 NORD,Zaahen,1,1,0,26.10,Prime League 1st Division/2026 Season/Spring Playoffs_Finals_1_5,1.0
G3V E-sports,Aatrox,1,0,0,26.11,Liga Regional Norte/2026 Season/Split 1 Playoffs_Finals_1_3,0.0
G3V E-sports,Ahri,1,0,0,26.11,Liga Regional Norte/2026 Season/Split 1 Playoffs_Round 3_2_3,0.0
G3V E-sports,Akali,1,0,0,26.11,Liga Regional Norte/2026 Season/Split 1 Playoffs_Finals_1_1,0.0
G3V E-sports,Alistar,1,0,0,26.11,Liga Regional Norte/2026 Season/Split 1 Playoffs_Finals_1_3,0.0
G3V E-sports,Ambessa,1,0,0,26.11,Liga Regional Norte/2026 Season/Split 1 Playoffs_Round 3_2_3,0.0
G3V E-sports,Aurora,1,1,0,26.10,Liga Regional Norte/2026 Season/Split 1 Playoffs_Round 3_1_3,1.0
G3V E-sports,Cassiopeia,1,0,0,26.10,Liga Regional Norte/2026 Season/Split 1 Playoffs_Round 3_1_2,0.0
G3V E-sports,Dr. Mundo,1,0,0,26.11,Liga Regional Norte/2026 Season/Split 1 Playoffs_Finals_1_3,0.0
G3V E-sports,Gnar,1,0,0,26.10,Liga Regional Norte/2026 Season/Split 1 Playoffs_Round 3_1_2,0.0
G3V E-sports,Jarvan IV,1,0,0,26.10,Liga Regional Norte/2026 Season/Split 1 Playoffs_Round 3_1_1,0.0
G3V E-sports,Kayle,1,0,0,26.10,Liga Regional Norte/2026 Season/Split 1 Playoffs_Round 3_1_4,0.0
G3V E-sports,LeBlanc,1,1,0,26.11,Liga Regional Norte/2026 Season/Split 1 Playoffs_Round 3_2_5,1.0
G3V E-sports,Maokai,1,1,0,26.11,Liga Regional Norte/2026 Season/Split 1 Playoffs_Round 3_2_5,1.0
G3V E-sports,Mel,1,0,0,26.10,Liga Regional Norte/2026 Season/Split 1 Playoffs_Round 3_1_2,0.0
G3V E-sports,Miss Fortune,1,0,0,26.10,Liga Regional Norte/2026 Season/Split 1 Playoffs_Round 3_1_4,0.0
G3V E-sports,Naafiri,1,0,0,26.11,Liga Regional Norte/2026 Season/Split 1 Playoffs_Finals_1_1,0.0
G3V E-sports,Nasus,1,1,0,26.11,Liga Regional Norte/2026 Season/Split 1 Playoffs_Round 3_2_1,1.0
G3V E-sports,Neeko,1,1,0,26.11,Liga Regional Norte/2026 Season/Split 1 Playoffs_Round 3_2_5,1.0
G3V E-sports,Nocturne,1,0,0,26.10,Liga Regional Norte/2026 Season/Split 1 Playoffs_Round 3_1_2,0.0
G3V E-sports,Rakan,1,1,0,26.10,Liga Regional Norte/2026 Season/Split 1 Playoffs_Round 3_1_3,1.0
G3V E-sports,Rumble,1,1,0,26.11,Liga Regional Norte/2026 Season/Split 1 Playoffs_Round 3_2_1,1.0
G3V E-sports,Skarner,1,1,0,26.10,Liga Regional Norte/2026 Season/Split 1 Playoffs_Round 3_1_3,1.0
G3V E-sports,Smolder,1,1,0,26.11,Liga Regional Norte/2026 Season/Split 1 Playoffs_Round 3_2_5,1.0
G3V E-sports,Taliyah,1,0,0,26.11,Liga Regional Norte/2026 Season/Split 1 Playoffs_Round 3_2_4,0.0
G3V E-sports,Trundle,1,0,0,26.11,Liga Regional Norte/2026 Season/Split 1 Playoffs_Round 3_2_4,0.0
G3V E-sports,Twisted Fate,1,0,0,26.10,Liga Regional Norte/2026 Season/Split 1 Playoffs_Round 3_1_4,0.0
G3V E-sports,Vayne,1,1,0,26.10,Liga Regional Norte/2026 Season/Split 1 Playoffs_Round 3_1_3,1.0
G3V E-sports,Vi,1,0,0,26.10,Liga Regional Norte/2026 Season/Split 1 Playoffs_Round 3_1_4,0.0
G3V E-sports,Viktor,1,1,0,26.11,Liga Regional Norte/2026 Season/Split 1 Playoffs_Round 3_2_1,1.0
G3V E-sports,Wukong,1,0,0,26.11,Liga Regional Norte/2026 Season/Split 1 Playoffs_Finals_1_2,0.0
G3V E-sports,Xin Zhao,1,0,0,26.11,Liga Regional Norte/2026 Season/Split 1 Playoffs_Round 3_2_3,0.0
G3V E-sports,Yasuo,1,0,0,26.11,Liga Regional Norte/2026 Season/Split 1 Playoffs_Round 3_2_4,0.0
G3V E-sports,Yunara,1,1,0,26.11,Liga Regional Norte/2026 Season/Split 1 Playoffs_Round 3_2_5,1.0
GAM Esports,Aatrox,1,0,0,26.10,LCP/2026 Season/Split 2 Playoffs_Round 3_2_5,0.0
GAM Esports,Alistar,1,1,0,26.10,LCP/2026 Season/Split 2 Playoffs_Round 3_2_3,1.0
GAM Esports,Annie,1,1,0,26.10,Esports World Cup 2026/Online Qualifiers/Asia-Pacific_Finals_1_3,1.0
GAM Esports,Caitlyn,1,1,0,26.09,Esports World Cup 2026/Online Qualifiers/Asia-Pacific_Round 3_1_3,1.0
GAM Esports,Hwei,1,1,0,26.09,LCP/2026 Season/Split 2_Week 6_4_2,1.0
GAM Esports,Jax,1,0,0,26.10,LCP/2026 Season/Split 2 Playoffs_Round 2_2_4,0.0
GAM Esports,K'Sante,1,0,0,26.10,LCP/2026 Season/Split 2 Playoffs_Round 3_2_1,0.0
GAM Esports,Kai'Sa,1,0,0,26.10,Esports World Cup 2026/Online Qualifiers/Asia-Pacific_Finals_1_4,0.0
GAM Esports,Kindred,1,0,0,26.10,Esports World Cup 2026/Online Qualifiers/Asia-Pacific_Finals_1_4,0.0
GAM Esports,Leona,1,0,0,26.09,Esports World Cup 2026/Online Qualifiers/Asia-Pacific_Round 2_1_2,0.0
GAM Esports,Malphite,1,1,0,26.09,Esports World Cup 2026/Online Qualifiers/Asia-Pacific_Round 1_2_3,1.0
GAM Esports,Nami,1,1,0,26.09,Esports World Cup 2026/Online Qualifiers/Asia-Pacific_Round 1_2_3,1.0
GAM Esports,Renekton,1,0,0,26.10,Esports World Cup 2026/Online Qualifiers/Asia-Pacific_Finals_1_2,0.0
GAM Esports,Seraphine,1,0,0,26.10,LCP/2026 Season/Split 2 Playoffs_Round 3_2_1,0.0
GAM Esports,Shen,1,0,0,26.10,LCP/2026 Season/Split 2 Playoffs_Round 3_2_5,0.0
GAM Esports,Sylas,1,0,0,26.10,Esports World Cup 2026/Online Qualifiers/Asia-Pacific_Finals_1_4,0.0
GAM Esports,Trundle,1,1,0,26.10,LCP/2026 Season/Split 2 Playoffs_Round 3_2_3,1.0
GAM Esports,Viego,1,1,0,26.10,Esports World Cup 2026/Online Qualifiers/Asia-Pacific_Finals_1_3,1.0
GAM Esports,Ziggs,1,0,0,26.10,LCP/2026 Season/Split 2 Playoffs_Round 3_2_5,0.0
GIANTX,Anivia,1,1,0,26.10,LEC/2026 Season/Spring Playoffs_Round 1_4_3,1.0
GIANTX,Aphelios,1,0,0,26.10,LEC/2026 Season/Spring Playoffs_Round 2_1_3,0.0
GIANTX,Ashe,1,1,0,26.10,LEC/2026 Season/Spring Playoffs_Round 1_4_1,1.0
GIANTX,Bard,1,0,0,26.09,LEC/2026 Season/Spring Season_Week 7_3_2,0.0
GIANTX,Caitlyn,1,0,0,26.09,LEC/2026 Season/Spring Season_Week 7_2_1,0.0
GIANTX,Cassiopeia,1,0,0,26.10,LEC/2026 Season/Spring Playoffs_Round 2_1_3,0.0
GIANTX,Kled,1,0,0,26.10,LEC/2026 Season/Spring Playoffs_Round 2_1_3,0.0
GIANTX,LeBlanc,1,0,0,26.09,LEC/2026 Season/Spring Season_Week 7_3_2,0.0
GIANTX,Mel,1,0,0,26.10,LEC/2026 Season/Spring Playoffs_Round 2_1_1,0.0
GIANTX,Miss Fortune,1,0,0,26.09,Esports World Cup 2026/Online Qualifiers/EMEA_Round 4_4_2,0.0
GIANTX,Neeko,1,0,0,26.09,LEC/2026 Season/Spring Season_Week 7_5_1,0.0
GIANTX,Rakan,1,1,0,26.09,Esports World Cup 2026/Online Qualifiers/EMEA_Round 3_2_1,1.0
GIANTX,Rell,1,0,0,26.09,Esports World Cup 2026/Online Qualifiers/EMEA_Round 4_4_2,0.0
GIANTX,Rumble,1,0,0,26.09,LEC/2026 Season/Spring Season_Week 7_3_1,0.0
GIANTX,Sejuani,1,0,0,26.10,LEC/2026 Season/Spring Playoffs_Round 2_1_3,0.0
GIANTX,Seraphine,1,1,0,26.10,LEC/2026 Season/Spring Playoffs_Round 1_4_1,1.0
GIANTX,Shen,1,0,0,26.10,LEC/2026 Season/Spring Playoffs_Round 2_1_1,0.0
GIANTX,Sion,1,0,0,26.09,LEC/2026 Season/Spring Season_Week 7_2_1,0.0
GIANTX,Taliyah,1,1,0,26.10,LEC/2026 Season/Spring Playoffs_Round 1_4_2,1.0
GIANTX,Vi,1,1,0,26.10,LEC/2026 Season/Spring Playoffs_Round 1_4_2,1.0
GIANTX,Wukong,1,0,0,26.09,Esports World Cup 2026/Online Qualifiers/EMEA_Round 4_4_2,0.0
GIANTX,Xayah,1,0,0,26.09,LEC/2026 Season/Spring Season_Week 7_3_2,0.0
GIANTX,Yone,1,0,0,26.09,LEC/2026 Season/Spring Season_Week 7_3_1,0.0
GIANTX,Ziggs,1,1,0,26.09,Esports World Cup 2026/Online Qualifiers/EMEA_Round 3_2_2,1.0
GIANTX iTero,Ambessa,1,1,0,26.10,LES/2026 Season/Spring Split_Week 7_3_2,1.0
GIANTX iTero,Ashe,1,0,0,26.09,LES/2026 Season/Spring Split_Week 6_2_1,0.0
GIANTX iTero,Aurora,1,0,0,26.09,LES/2026 Season/Spring Split_Week 5_2_1,0.0
GIANTX iTero,Blitzcrank,1,0,0,26.09,LES/2026 Season/Spring Split_Week 6_2_2,0.0
GIANTX iTero,Corki,1,1,0,26.10,LES/2026 Season/Spring Split_Week 7_3_2,1.0
GIANTX iTero,Ezreal,1,1,0,26.10,LES/2026 Season/Spring Split_Week 7_3_1,1.0
GIANTX iTero,Galio,1,1,0,26.10,LES/2026 Season/Spring Split_Week 7_3_1,1.0
GIANTX iTero,Jarvan IV,1,0,0,26.09,LES/2026 Season/Spring Split_Week 5_2_1,0.0
GIANTX iTero,Kalista,1,0,0,26.09,LES/2026 Season/Spring Split_Week 6_2_2,0.0
GIANTX iTero,Kennen,1,0,0,26.09,LES/2026 Season/Spring Split_Week 5_2_2,0.0
GIANTX iTero,Lucian,1,0,0,26.09,LES/2026 Season/Spring Split_Week 5_2_2,0.0
GIANTX iTero,Milio,1,0,0,26.09,LES/2026 Season/Spring Split_Week 5_2_2,0.0
GIANTX iTero,Nami,1,1,0,26.10,LES/2026 Season/Spring Split_Week 7_3_2,1.0
GIANTX iTero,Nautilus,1,0,0,26.09,LES/2026 Season/Spring Split_Week 5_2_1,0.0
GIANTX iTero,Nocturne,1,1,0,26.10,LES/2026 Season/Spring Split_Week 7_3_1,1.0
GIANTX iTero,Rakan,1,1,0,26.10,LES/2026 Season/Spring Split_Week 7_3_1,1.0
GIANTX iTero,Seraphine,1,0,0,26.09,LES/2026 Season/Spring Split_Week 6_2_1,0.0
GIANTX iTero,Sion,1,0,0,26.09,LES/2026 Season/Spring Split_Week 6_2_1,0.0
GIANTX iTero,Trundle,1,0,0,26.09,LES/2026 Season/Spring Split_Week 5_2_2,0.0
GIANTX iTero,Varus,1,0,0,26.09,LES/2026 Season/Spring Split_Week 6_2_2,0.0
GIANTX iTero,Vayne,1,1,0,26.10,LES/2026 Season/Spring Split_Week 7_3_1,1.0
GIANTX iTero,Vi,1,1,0,26.10,LES/2026 Season/Spring Split_Week 7_3_2,1.0
GIANTX iTero,Wukong,1,0,0,26.09,LES/2026 Season/Spring Split_Week 6_2_2,0.0
GIANTX iTero,Xerath,1,1,0,26.10,LES/2026 Season/Spring Split_Week 7_3_2,1.0
GIANTX iTero,Zaahen,1,0,0,26.09,LES/2026 Season/Spring Split_Week 6_2_1,0.0
GLORE,Annie,1,0,0,26.10,Rift Legends/2026 Season/Spring Split_Week 6_3_1,0.0
GLORE,Aurora,1,0,0,26.09,Rift Legends/2026 Season/Spring Split_Week 5_5_1,0.0
GLORE,Azir,1,0,0,26.09,Rift Legends/2026 Season/Spring Split_Week 5_3_1,0.0
GLORE,Brand,1,0,0,26.09,Rift Legends/2026 Season/Spring Split_Week 5_5_1,0.0
GLORE,Cassiopeia,1,0,0,26.10,Rift Legends/2026 Season/Spring Split_Week 6_3_2,0.0
GLORE,Ezreal,1,0,0,26.10,Rift Legends/2026 Season/Spring Split_Week 6_3_2,0.0
GLORE,Fiora,1,0,0,26.10,Rift Legends/2026 Season/Spring Split_Week 6_3_2,0.0
GLORE,Gnar,1,0,0,26.09,Rift Legends/2026 Season/Spring Split_Week 5_3_1,0.0
GLORE,Graves,1,0,0,26.09,Rift Legends/2026 Season/Spring Split_Week 5_5_2,0.0
GLORE,Hwei,1,0,0,26.09,Rift Legends/2026 Season/Spring Split_Week 5_5_2,0.0
GLORE,Jayce,1,0,0,26.10,Rift Legends/2026 Season/Spring Split_Week 6_3_2,0.0
GLORE,K'Sante,1,0,0,26.09,Rift Legends/2026 Season/Spring Split_Week 5_5_1,0.0
GLORE,Nami,1,0,0,26.09,Rift Legends/2026 Season/Spring Split_Week 5_5_1,0.0
GLORE,Pantheon,1,0,0,26.10,Rift Legends/2026 Season/Spring Split_Week 6_3_1,0.0
GLORE,Rakan,1,0,0,26.09,Rift Legends/2026 Season/Spring Split_Week 5_5_2,0.0
GLORE,Rek'Sai,1,0,0,26.09,Rift Legends/2026 Season/Spring Split_Week 5_3_2,0.0
GLORE,Smolder,1,0,0,26.09,Rift Legends/2026 Season/Spring Split_Week 5_3_1,0.0
GLORE,Viktor,1,0,0,26.09,Rift Legends/2026 Season/Spring Split_Week 5_5_2,0.0
GLORE,Wukong,1,0,0,26.09,Rift Legends/2026 Season/Spring Split_Week 5_5_1,0.0
GLORE,Xin Zhao,1,0,0,26.09,Rift Legends/2026 Season/Spring Split_Week 5_3_1,0.0
GLORE,Zaahen,1,0,0,26.09,Rift Legends/2026 Season/Spring Split_Week 5_3_2,0.0
GMBLERS Esports,Ahri,1,0,0,26.10,LIT/2026 Season/Spring Playoffs_Finals_1_2,0.0
GMBLERS Esports,Akali,1,1,0,26.09,LIT/2026 Season/Spring Playoffs_Round 5_1_3,1.0
GMBLERS Esports,Bard,1,0,0,26.09,LIT/2026 Season/Spring Playoffs_Semifinals_2_4,0.0
GMBLERS Esports,Braum,1,0,0,26.11,EMEA Masters/2026 Season/Spring Play-In_Round 4_5_1,0.0
GMBLERS Esports,Galio,1,0,0,26.11,EMEA Masters/2026 Season/Spring Play-In_Round 4_5_1,0.0
GMBLERS Esports,Gwen,1,1,0,26.11,EMEA Masters/2026 Season/Spring Play-In_Round 3_7_1,1.0
GMBLERS Esports,Jayce,1,1,0,26.09,LIT/2026 Season/Spring Playoffs_Semifinals_2_3,1.0
GMBLERS Esports,K'Sante,1,0,0,26.09,LIT/2026 Season/Spring Playoffs_Round 4_1_3,0.0
GMBLERS Esports,Kai'Sa,1,1,0,26.09,LIT/2026 Season/Spring Playoffs_Round 5_1_2,1.0
GMBLERS Esports,Lulu,1,1,0,26.09,LIT/2026 Season/Spring Playoffs_Round 4_1_2,1.0
GMBLERS Esports,Malzahar,1,0,0,26.09,LIT/2026 Season/Spring Playoffs_Round 4_1_3,0.0
GMBLERS Esports,Mel,1,1,0,26.09,LIT/2026 Season/Spring Playoffs_Round 5_1_2,1.0
GMBLERS Esports,Miss Fortune,1,0,0,26.10,LIT/2026 Season/Spring Playoffs_Finals_1_1,0.0
GMBLERS Esports,Nautilus,1,0,0,26.09,LIT/2026 Season/Spring Playoffs_Round 4_1_1,0.0
GMBLERS Esports,Neeko,1,0,0,26.11,EMEA Masters/2026 Season/Spring Play-In_Round 1_4_1,0.0
GMBLERS Esports,Nocturne,1,1,0,26.09,LIT/2026 Season/Spring Playoffs_Round 5_1_1,1.0
GMBLERS Esports,Orianna,1,1,0,26.09,LIT/2026 Season/Spring Playoffs_Round 5_1_1,1.0
GMBLERS Esports,Sivir,1,1,0,26.09,LIT/2026 Season/Spring Playoffs_Semifinals_2_5,1.0
GMBLERS Esports,Smolder,1,0,0,26.09,LIT/2026 Season/Spring Playoffs_Semifinals_2_4,0.0
GMBLERS Esports,Varus,1,0,0,26.09,LIT/2026 Season/Spring Playoffs_Round 4_1_3,0.0
GMBLERS Esports,Vayne,1,1,0,26.09,LIT/2026 Season/Spring Playoffs_Semifinals_2_5,1.0
GMBLERS Esports,Yorick,1,1,0,26.09,LIT/2026 Season/Spring Playoffs_Round 4_1_4,1.0
GMBLERS Esports,Yunara,1,1,0,26.09,LIT/2026 Season/Spring Playoffs_Round 4_1_2,1.0
GMBLERS Esports,Zaahen,1,0,0,26.10,LIT/2026 Season/Spring Playoffs_Finals_1_2,0.0
GOAL,Aatrox,1,1,0,26.09,Hellenic Legends League/2026 Season/Spring Playoffs_Semifinals_2_5,1.0
GOAL,Ambessa,1,1,0,26.09,Hellenic Legends League/2026 Season/Spring Playoffs_Semifinals_2_5,1.0
GOAL,Caitlyn,1,0,0,26.09,Hellenic Legends League/2026 Season/Spring Playoffs_Finals_1_3,0.0
GOAL,Jarvan IV,1,0,0,26.09,Hellenic Legends League/2026 Season/Spring Playoffs_Semifinals_2_1,0.0
GOAL,Jhin,1,1,0,26.09,Hellenic Legends League/2026 Season/Spring Split_Week 6_1_1,1.0
GOAL,Jinx,1,1,0,26.11,EMEA Masters/2026 Season/Spring Play-In_Round 4_5_1,1.0
GOAL,Karma,1,0,0,26.09,Hellenic Legends League/2026 Season/Spring Playoffs_Semifinals_2_1,0.0
GOAL,Lee Sin,1,0,0,26.11,EMEA Masters/2026 Season/Spring Play-In_Qualification Round_1_1,0.0
GOAL,Leona,1,1,0,26.09,Hellenic Legends League/2026 Season/Spring Split_Week 6_1_1,1.0
GOAL,Miss Fortune,1,1,0,26.09,Hellenic Legends League/2026 Season/Spring Playoffs_Semifinals_2_4,1.0
GOAL,Neeko,1,0,0,26.09,Hellenic Legends League/2026 Season/Spring Playoffs_Finals_1_3,0.0
GOAL,Olaf,1,1,0,26.09,Hellenic Legends League/2026 Season/Spring Playoffs_Semifinals_2_4,1.0
GOAL,Renekton,1,1,0,26.09,Hellenic Legends League/2026 Season/Spring Playoffs_Semifinals_2_4,1.0
GOAL,Seraphine,1,1,0,26.09,Hellenic Legends League/2026 Season/Spring Playoffs_Semifinals_2_4,1.0
GOAL,Syndra,1,0,0,26.09,Hellenic Legends League/2026 Season/Spring Playoffs_Finals_1_3,0.0
GOAL,Taliyah,1,1,0,26.09,Hellenic Legends League/2026 Season/Spring Playoffs_Semifinals_2_5,1.0
GOAL,Vayne,1,1,0,26.11,EMEA Masters/2026 Season/Spring Play-In_Round 1_5_1,1.0
GOAL,Yone,1,1,0,26.11,EMEA Masters/2026 Season/Spring Play-In_Round 5_2_1,1.0
GTZ Esports,Akali,1,1,0,26.09,LPLOL/2026 Season/Spring Split_Week 3_4_1,1.0
GTZ Esports,Aurora,1,0,0,26.09,LPLOL/2026 Season/Spring Split_Week 4_4_1,0.0
GTZ Esports,Bard,1,0,0,26.09,LPLOL/2026 Season/Spring Split_Week 4_4_1,0.0
GTZ Esports,Braum,1,0,0,26.09,LPLOL/2026 Season/Spring Split_Week 2_2_1,0.0
GTZ Esports,Caitlyn,1,0,0,26.09,LPLOL/2026 Season/Spring Split_Week 3_8_1,0.0
GTZ Esports,Corki,1,1,0,26.09,LPLOL/2026 Season/Spring Split_Week 3_4_1,1.0
GTZ Esports,Ezreal,1,0,0,26.09,LPLOL/2026 Season/Spring Split_Week 4_5_1,0.0
GTZ Esports,Fizz,1,0,0,26.09,LPLOL/2026 Season/Spring Split_Week 4_5_1,0.0
GTZ Esports,Hwei,1,0,0,26.09,LPLOL/2026 Season/Spring Split_Week 3_8_1,0.0
GTZ Esports,Jarvan IV,1,0,0,26.09,LPLOL/2026 Season/Spring Split_Week 2_2_1,0.0
GTZ Esports,K'Sante,1,0,0,26.09,LPLOL/2026 Season/Spring Split_Week 4_4_1,0.0
GTZ Esports,Malphite,1,1,0,26.09,LPLOL/2026 Season/Spring Split_Week 3_4_1,1.0
GTZ Esports,Naafiri,1,0,0,26.09,LPLOL/2026 Season/Spring Split_Week 3_8_1,0.0
GTZ Esports,Nautilus,1,0,0,26.09,LPLOL/2026 Season/Spring Split_Week 3_8_1,0.0
GTZ Esports,Smolder,1,0,0,26.09,LPLOL/2026 Season/Spring Split_Week 4_4_1,0.0
GTZ Esports,Varus,1,0,0,26.09,LPLOL/2026 Season/Spring Split_Week 2_2_1,0.0
GTZ Esports,Viktor,1,0,0,26.09,LPLOL/2026 Season/Spring Split_Week 2_2_1,0.0
GTZ Esports,Zaahen,1,0,0,26.09,LPLOL/2026 Season/Spring Split_Week 4_4_1,0.0
Galions,Aatrox,1,1,0,26.10,LFL/2026 Season/Spring Playoffs_Round 3_1_4,1.0
Galions,Ambessa,1,0,0,26.10,LFL/2026 Season/Spring Playoffs_Finals_1_2,0.0
Galions,Aurora,1,0,0,26.10,LFL/2026 Season/Spring Playoffs_Finals_1_2,0.0
Galions,Blitzcrank,1,1,0,26.11,EMEA Masters/2026 Season/Spring Main Event_Semifinals_2_3,1.0
Galions,Corki,1,1,0,26.10,LFL/2026 Season/Spring Playoffs_Round 3_1_4,1.0
